IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
477312,NS00010188,DTXSID0021389,0,mg/l,2010-09-14T00:00:00Z,1674,chevillon 4_le ruisseau de chevillon,48.5280479866667,5.12939925611111,chevillon 4,France,le ruisseau de chevillon,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
127173,NS00000247,DTXSID0020442,0,mg/l,2008-03-05T00:00:00Z,1169,sladkovicovo_dolny dudvah,48.211685554,17.6455261563,sladkovicovo,Slovakia,dolny dudvah,danube,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
303045,NS00000247,DTXSID0020442,0,mg/l,2010-10-19T00:00:00Z,1494,eijsden m615_maas,NA,NA,eijsden m615,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
776291,NS00000148,DTXSID3052725,0,mg/l,2011-01-26T00:00:00Z,1528,villesouslaferte 1_laube,48.1440521116667,4.79547120638889,villesouslaferte 1,France,laube,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
432143,NS00008448,DTXSID3024239,0,mg/l,2010-03-15T00:00:00Z,1598,saintouenenbrie 1_le ru dancoeur,48.5574261430556,2.91949316,saintouenenbrie 1,France,le ru dancoeur,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
310497,NS00008307,DTXSID3020833,0.00179,mg/l,2006-03-10T00:00:00Z,1495,heel m690_maas,NA,NA,heel m690,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
513925,NS00001740,DTXSID4020791,0,mg/l,2010-02-17T00:00:00Z,1729,la fertesousjouarre 1_la marne,48.9447165177778,3.12460132638889,la fertesousjouarre 1,France,la marne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
776000,NS00010095,DTXSID2021781,0,mg/l,2011-11-21T00:00:00Z,1527,auberive 3_laube,47.7776520658333,5.080423025,auberive 3,France,laube,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
153324,NS00010822,DTXSID1020431,0,mg/l,2008-08-18T00:00:00Z,1278,ru de saintjulien le 50 m en amont de la voie ferree la marnoise langres_NA,NA,NA,ru de saintjulien le 50 m en amont de la voie ferree la marnoise langres,France,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE
561015,NS00098479,DTXSID3024235,0,mg/l,2010-10-13T00:00:00Z,1799,persan 1_lesches,49.1450402952778,2.27139137416667,persan 1,France,lesches,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1029785,NS00010861,DTXSID9020295,0,mg/l,2011-07-26T00:00:00Z,2148,fereentardenois 1_le ru de la pelle,49.1999182316667,3.49762846305556,fereentardenois 1,France,lourcq,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
835442,NS00006349,DTXSID1024122,0,mg/l,2011-04-12T00:00:00Z,1570,molay 1_le serein,47.7322571233333,3.93964907583333,molay 1,France,le serein,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
16460,NS00000261,DTXSID0037495,0,mg/l,2000-07-18T00:00:00Z,635,horndrup baek sortholmvej_horndrup baek,55.3198,62.0666,horndrup baek sortholmvej,Denmark,horndrup baek,dk1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
115547,NS00004478,DTXSID1058680,0,mg/l,2009-08-10T00:00:00Z,1117,bratislava pravy breh danube rkm 1869 danube sk_danube,48.138326119,17.1072038339,bratislava pravy breh danube rkm 1869 danube sk,Slovakia,danube,danube,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
971170,NS00003145,DTXSID1020855,0,mg/l,2011-12-06T00:00:00Z,1687,doulaincourtsaucourt 2_le rognon,48.3437163919444,5.16519750083333,doulaincourtsaucourt 2,France,le rognon,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
304823,NS00009638,DTXSID3030056,0,mg/l,2009-04-07T00:00:00Z,1494,eijsden m615_maas,NA,NA,eijsden m615,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
504145,NS00010239,DTXSID9021716,0,mg/l,2010-04-22T00:00:00Z,1713,matougues 1_la marne,48.996564165,4.24169071166667,matougues 1,France,la marne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
799796,NS00000529,DTXSID7024245,0,mg/l,2011-10-13T00:00:00Z,1546,chateauchinoncampagne 3_lyonne,47.0287064080556,3.96919831166667,chateauchinoncampagne 3,France,lyonne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
