DTXSID,tox_value_mg_L,tox_S_AD,tox_stat,tox_source,species,tox_reliability,neutral_fraction_jchem,tox_source_origin
DTXSID0020076,14.13,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020076,5.055,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020076,35.04,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020076,21820,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020076,0.0749,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020076,326.7,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020076,100,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020076,22.16,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020076,51640,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020076,0.03424,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020107,8.376,3,qsar,IRFMN,algae,NA,0.94,IRFMN
DTXSID0020107,48010,2,qsar,ECOSAR_BASELINE,algae,NA,0.94,ECOSAR_BASELINE
DTXSID0020107,1255,3,qsar,VAN_LEEUWEN,algae,NA,0.94,VAN_LEEUWEN
DTXSID0020107,21.8,3,qsar,IRFMN,crustacean,NA,0.94,IRFMN
DTXSID0020107,281300,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.94,ECOSAR_BASELINE
DTXSID0020107,1.111,3,qsar,BOL,crustacean,NA,0.94,BOL
DTXSID0020107,4.03,3,qsar,IRFMN,fish,NA,0.94,IRFMN
DTXSID0020107,707600,1,qsar,ECOSAR_BASELINE,fish,NA,0.94,ECOSAR_BASELINE
DTXSID0020107,0.436,3,qsar,BOL,fish,NA,0.94,BOL
DTXSID00202062,11.1,3,qsar,IRFMN,algae,NA,0.06,IRFMN
DTXSID00202062,125.6,3,qsar,ECOSAR_BASELINE,algae,NA,0.06,ECOSAR_BASELINE
DTXSID00202062,0.2385,3,qsar,VAN_LEEUWEN,algae,NA,0.06,VAN_LEEUWEN
DTXSID00202062,4.441,3,qsar,IRFMN,crustacean,NA,0.06,IRFMN
DTXSID00202062,179.3,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.06,ECOSAR_BASELINE
DTXSID00202062,0.0003232,3,qsar,BOL,crustacean,NA,0.06,BOL
DTXSID00202062,10.15,3,qsar,IRFMN,fish,NA,0.06,IRFMN
DTXSID00202062,320.5,2,qsar,ECOSAR_BASELINE,fish,NA,0.06,ECOSAR_BASELINE
DTXSID00202062,0.0002975,3,qsar,BOL,fish,NA,0.06,BOL
DTXSID0020232,171.3,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020232,101.4,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020232,8.494,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020232,2284,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020232,18.53,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020232,171.4,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020232,161.4,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020232,26.79,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020232,7128,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020232,0.01984,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020232,156.6,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020232,37.5,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020232,7.552,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020232,15400,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020232,0.01139,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020280,20.56,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020280,7.72,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020280,7.402,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020280,29.3,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
